ExamID,Title,UserName,IPAddress,Browser,EntranceTime,ExamEndTime,FinalGrade
3289,سیستماتیک گیاهی 3,s961303103,46.100.214.50,Chrome 79.0,2021-05-12 17:00:23.840,2021-05-12 17:36:01.237,14.80
3289,سیستماتیک گیاهی 3,s961303107,5.22.109.37,Chrome 83.0,2021-05-12 17:00:19.963,2021-05-12 17:34:36.157,14.20
3289,سیستماتیک گیاهی 3,s961303118,93.110.170.67,Chrome 87.0,2021-05-12 17:00:23.183,2021-05-12 17:32:44.553,12.90
3289,سیستماتیک گیاهی 3,s961303121,5.234.50.188,Chrome 90.0,2021-05-12 17:00:15.653,2021-05-12 17:38:44.767,15.20
3289,سیستماتیک گیاهی 3,s971303103,31.7.116.117,Chrome 90.0,2021-05-12 17:00:57.980,2021-05-12 17:34:35.420,14.00
3289,سیستماتیک گیاهی 3,s961303124,5.123.165.166,Chrome 87.0,2021-05-12 17:01:42.907,2021-05-12 17:32:57.773,10.00
3289,سیستماتیک گیاهی 3,s971303104,77.42.49.55,Chrome 90.0,2021-05-12 17:00:05.713,2021-05-12 17:39:18.907,18.70
3289,سیستماتیک گیاهی 3,s971303105,89.235.106.62,Chrome 90.0,2021-05-12 17:00:16.043,2021-05-12 17:24:24.000,13.80
3289,سیستماتیک گیاهی 3,s971303106,37.254.178.230,Firefox 89.0,2021-05-12 17:00:08.090,2021-05-12 17:04:44.967,15.70
3289,سیستماتیک گیاهی 3,s971303107,5.72.229.180,Chrome 90.0,2021-05-12 17:00:30.653,2021-05-12 17:37:53.310,16.90
3289,سیستماتیک گیاهی 3,s971303108,5.22.46.178,Chrome 83.0,2021-05-12 17:00:21.933,2021-05-12 17:34:43.983,14.70
3289,سیستماتیک گیاهی 3,s971303109,5.218.27.204,Firefox 60.0,2021-05-12 17:07:34.083,2021-05-12 17:34:56.813,14.70
3289,سیستماتیک گیاهی 3,s971303110,5.218.110.237,InternetExplorer 11.0,2021-05-12 17:02:57.167,2021-05-12 17:34:12.607,14.20
