ExamID,Title,UserName,IPAddress,Browser,EntranceTime,ExamEndTime,FinalGrade
3136,میان ترم بیوشیمی فیزیک 99,s971302114,178.239.155.34,Safari 14.0,2021-04-20 11:01:35.220,2021-04-20 11:19:42.693,7.00
3136,میان ترم بیوشیمی فیزیک 99,s961302126,31.7.116.37,Chrome 89.0,2021-04-20 11:00:07.143,2021-04-20 11:19:36.913,15.00
3136,میان ترم بیوشیمی فیزیک 99,s971302117,37.255.127.155,Chrome 89.0,2021-04-20 11:00:06.797,2021-04-20 11:20:05.807,15.00
3136,میان ترم بیوشیمی فیزیک 99,s971302113,5.119.212.51,Chrome 89.0,2021-04-20 11:00:06.797,2021-04-20 11:19:17.147,13.00
3136,میان ترم بیوشیمی فیزیک 99,s971302125,86.57.36.125,Chrome 90.0,2021-04-20 11:02:17.670,2021-04-20 11:20:20.220,12.00
3136,میان ترم بیوشیمی فیزیک 99,s971302127,93.110.139.173,Chrome 81.0,2021-04-20 11:01:52.753,2021-04-20 11:20:00.603,11.00
3136,میان ترم بیوشیمی فیزیک 99,s971302107,93.110.71.27,Chrome 90.0,2021-04-20 11:03:08.207,2021-04-20 11:19:39.583,13.00
3136,میان ترم بیوشیمی فیزیک 99,s971302129,5.218.136.23,Chrome 90.0,2021-04-20 11:00:18.190,2021-04-20 11:19:45.867,16.00
3136,میان ترم بیوشیمی فیزیک 99,s971302102,5.22.84.0,Chrome 88.0,2021-04-20 11:00:17.533,2021-04-20 11:20:21.067,14.00
3136,میان ترم بیوشیمی فیزیک 99,s971302122,95.162.241.198,Chrome 70.0,2021-04-20 11:03:32.570,2021-04-20 11:19:30.803,10.00
3136,میان ترم بیوشیمی فیزیک 99,s971302108,93.110.53.143,Firefox 81.0,2021-04-20 11:07:22.643,2021-04-20 11:20:24.973,13.00
3136,میان ترم بیوشیمی فیزیک 99,s971302123,151.247.66.182,Chrome 83.0,2021-04-20 11:00:17.610,2021-04-20 11:19:54.820,15.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971303110,5.218.170.102,Chrome 91.0,2021-06-15 10:32:35.527,2021-06-15 10:32:56.547,13.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971303109,2.184.151.48,Chrome 79.0,2021-06-15 10:32:48.763,2021-06-15 10:33:04.687,15.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971302114,5.120.17.214,Safari 14.0,2021-06-15 10:38:16.447,2021-06-15 10:38:21.117,13.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971303129,93.110.181.253,Chrome 91.0,2021-06-15 10:30:11.213,2021-06-15 10:30:26.887,12.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971303138,5.209.212.143,Chrome 89.0,2021-06-15 10:32:37.903,2021-06-15 10:34:40.910,16.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971302117,31.7.113.136,Chrome 91.0,2021-06-15 10:30:46.307,2021-06-15 10:31:38.050,11.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971302124,5.213.225.249,Chrome 75.0,2021-06-15 10:31:45.817,2021-06-15 10:32:02.133,12.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971302113,151.232.182.105,Chrome 91.0,2021-06-15 10:32:20.307,2021-06-15 10:32:40.200,12.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971302101,5.124.34.148,Chrome 81.0,2021-06-15 10:31:03.857,2021-06-15 10:32:20.510,13.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971302105,5.214.133.161,Chrome 87.0,2021-06-15 10:30:28.573,2021-06-15 10:31:53.567,16.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971303108,93.110.209.99,Chrome 87.0,2021-06-15 10:31:18.357,2021-06-15 10:31:37.050,14.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971303125,5.124.205.132,Chrome 91.0,2021-06-15 10:31:30.467,2021-06-15 10:35:53.217,17.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s961303115,217.219.47.110,Chrome 91.0,2021-06-15 10:31:00.247,2021-06-15 10:31:20.187,18.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s991305116,5.218.36.212,Chrome 87.0,2021-06-15 10:30:27.073,2021-06-15 12:18:34.023,13.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971302129,5.124.68.112,Chrome 87.0,2021-06-15 10:30:24.883,2021-06-15 10:36:42.670,12.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971302109,86.57.64.42,Chrome 91.0,2021-06-15 10:32:00.023,2021-06-15 10:32:21.887,11.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s961303119,86.57.69.46,Firefox 89.0,2021-06-15 10:32:20.340,2021-06-15 10:32:32.043,10.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s991305109,5.119.193.145,Chrome 91.0,2021-06-15 10:30:43.183,2021-06-15 10:32:01.493,10.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971303901,37.137.243.5,Chrome 88.0,2021-06-15 10:34:06.757,2021-06-15 10:34:15.467,15.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s961303138,5.218.168.14,Chrome 75.0,2021-06-15 10:30:13.587,2021-06-15 10:30:39.353,13.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s961303132,5.234.50.26,Chrome 87.0,2021-06-15 10:30:17.713,2021-06-15 10:30:57.497,12.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s991305117,31.7.119.32,Chrome 91.0,2021-06-15 10:31:15.390,2021-06-15 10:32:01.447,12.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s991305114,31.57.210.123,Chrome 91.0,2021-06-15 10:32:37.370,2021-06-15 10:32:57.423,13.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971302108,5.22.38.147,Firefox 81.0,2021-06-15 10:32:26.353,2021-06-15 10:32:43.543,14.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s961303118,92.38.132.179,Chrome 87.0,2021-06-15 10:39:44.377,NULL,0.00
5522,آزمون پایان ترم ریاضی 2 گروه 4,s971303114,5.124.75.3,Chrome 90.0,2021-06-15 10:31:04.123,2021-06-15 10:31:27.157,14.00
5780,آزمون شیمی عمومی 2,s971302114,5.127.211.28,Firefox 89.0,2021-06-23 10:31:15.487,2021-06-23 10:34:27.937,12.00
5780,آزمون شیمی عمومی 2,s991302107,5.124.111.152,Firefox 89.0,2021-06-23 10:33:10.767,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302125,86.57.97.79,Chrome 91.0,2021-06-23 10:30:05.277,2021-06-23 11:37:05.613,11.00
5780,آزمون شیمی عمومی 2,s991302121,86.57.99.213,Firefox 89.0,2021-06-23 10:30:43.233,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302128,69.194.96.211,Chrome 78.0,2021-06-23 10:32:02.317,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302119,5.124.92.124,Chrome 90.0,2021-06-23 10:30:31.577,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302131,NULL,NULL,NULL,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302129,5.123.130.3,Chrome 89.0,2021-06-23 10:33:02.330,2021-06-23 10:40:59.593,13.00
5780,آزمون شیمی عمومی 2,s991302135,91.99.204.57,Firefox 89.0,2021-06-23 10:30:19.450,2021-06-23 11:38:38.207,12.00
5780,آزمون شیمی عمومی 2,s981302502,5.124.253.92,Safari 14.1,2021-06-23 10:30:40.857,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302103,NULL,NULL,NULL,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302112,37.255.153.3,Chrome 91.0,2021-06-23 10:30:09.217,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302113,77.42.25.34,Chrome 91.0,2021-06-23 10:30:14.167,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302101,NULL,NULL,NULL,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302127,188.159.6.42,Firefox 89.0,2021-06-23 10:30:22.090,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302114,130.255.197.63,Firefox 89.0,2021-06-23 10:30:34.357,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302102,NULL,NULL,NULL,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302136,164.138.191.229,Chrome 91.0,2021-06-23 10:30:08.637,2021-06-23 11:37:55.270,20.00
5780,آزمون شیمی عمومی 2,s991302120,130.255.194.153,Chrome 88.0,2021-06-23 10:30:12.450,2021-06-23 11:36:19.377,14.40
5780,آزمون شیمی عمومی 2,s961303119,86.57.105.221,Firefox 89.0,2021-06-23 10:30:08.247,2021-06-23 11:34:18.473,12.20
5780,آزمون شیمی عمومی 2,s991302111,37.148.39.131,Firefox 89.0,2021-06-23 10:30:24.340,2021-06-23 11:38:59.890,13.30
5780,آزمون شیمی عمومی 2,s961302120,93.110.252.172,Chrome 89.0,2021-06-23 10:30:13.917,NULL,0.00
5780,آزمون شیمی عمومی 2,t2269,NULL,NULL,2021-06-23 13:30:31.300,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302124,5.123.98.90,Chrome 80.0,2021-06-23 10:30:18.370,2021-06-23 11:33:33.057,13.40
5780,آزمون شیمی عمومی 2,s991302126,158.58.79.207,Chrome 90.0,2021-06-23 10:31:23.393,2021-06-23 10:35:39.927,12.40
5780,آزمون شیمی عمومی 2,s991302130,85.185.138.34,Chrome 91.0,2021-06-23 10:32:58.390,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302122,NULL,NULL,NULL,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302134,5.218.45.59,Safari 12.1,2021-06-23 10:30:12.917,2021-06-23 10:51:51.997,14.00
5780,آزمون شیمی عمومی 2,s991302115,5.218.48.41,Chrome 78.0,2021-06-23 10:32:02.300,NULL,0.00
5780,آزمون شیمی عمومی 2,s961303120,86.57.119.141,Chrome 81.0,2021-06-23 10:30:05.073,2021-06-23 11:37:42.630,13.00
5780,آزمون شیمی عمومی 2,s991302123,5.124.199.75,Safari 14.0,2021-06-23 10:30:17.607,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302109,5.124.10.134,Chrome 91.0,2021-06-23 10:30:10.120,NULL,0.00
5780,آزمون شیمی عمومی 2,s991302108,5.52.249.183,Chrome 91.0,2021-06-23 10:30:16.357,2021-06-23 11:37:10.850,15.00
5780,آزمون شیمی عمومی 2,s991302106,37.254.165.89,Chrome 87.0,2021-06-23 10:30:57.843,NULL,0.00
6168,متون تخصصی 1400,s971302114,178.239.154.130,Firefox 89.0,2021-06-26 10:33:02.800,2021-06-26 10:59:56.833,10.00
6168,متون تخصصی 1400,s961302126,5.219.144.254,Chrome 91.0,2021-06-26 10:30:09.250,2021-06-26 10:44:54.897,10.00
6168,متون تخصصی 1400,s971302117,5.124.185.127,Chrome 91.0,2021-06-26 10:30:10.720,2021-06-26 10:48:15.500,10.00
6168,متون تخصصی 1400,s971302124,5.216.220.101,Chrome 81.0,2021-06-26 10:30:08.140,2021-06-26 10:58:55.537,10.00
6168,متون تخصصی 1400,s971302113,5.119.165.33,Chrome 91.0,2021-06-26 10:30:05.687,2021-06-26 10:58:50.600,10.00
6168,متون تخصصی 1400,s971302101,5.250.72.120,Chrome 81.0,2021-06-26 10:30:23.830,2021-06-26 10:58:39.663,10.00
6168,متون تخصصی 1400,s971302105,5.213.215.27,Chrome 87.0,2021-06-26 10:30:15.687,2021-06-26 10:58:35.507,10.00
6168,متون تخصصی 1400,s971302125,79.127.90.206,Chrome 91.0,2021-06-26 10:30:05.233,2021-06-26 10:57:04.067,8.00
6168,متون تخصصی 1400,s951302123,93.110.143.81,Chrome 71.0,2021-06-26 10:32:14.303,2021-06-26 10:49:40.643,10.00
6168,متون تخصصی 1400,s971302127,5.218.59.167,Chrome 91.0,2021-06-26 10:32:45.237,2021-06-26 10:54:45.697,8.00
6168,متون تخصصی 1400,s971302107,188.215.195.84,Chrome 91.0,2021-06-26 10:30:08.517,2021-06-26 10:58:03.127,10.00
6168,متون تخصصی 1400,s971302129,5.124.152.211,Chrome 87.0,2021-06-26 10:30:05.983,2021-06-26 10:53:33.363,10.00
6168,متون تخصصی 1400,s971302109,130.255.218.82,Chrome 88.0,2021-06-26 10:31:46.597,2021-06-26 10:58:52.100,10.00
6168,متون تخصصی 1400,s971302102,5.123.61.29,Chrome 81.0,2021-06-26 10:30:11.063,2021-06-26 10:59:34.610,9.00
6168,متون تخصصی 1400,t13160,NULL,NULL,2021-06-24 12:53:52.480,2021-06-24 12:54:45.703,14.00
