ExamID,Title,UserName,IPAddress,Browser,EntranceTime,ExamEndTime,FinalGrade
8,مبانی تغذیه S1,s981206202,130.255.214.207,Chrome 86.0,2021-03-08 13:30:06.473,2021-03-08 13:34:07.857,11.00
8,مبانی تغذیه S1,s981206204,5.218.159.156,Chrome 86.0,2021-03-08 13:30:11.723,2021-03-08 13:31:14.363,16.00
8,مبانی تغذیه S1,s981206205,151.234.195.245,Chrome 61.0,2021-03-08 13:30:18.990,2021-03-08 13:34:02.623,14.00
8,مبانی تغذیه S1,s981206208,5.250.7.247,Chrome 85.0,2021-03-08 13:30:08.600,2021-03-08 13:32:22.983,16.00
8,مبانی تغذیه S1,s981206209,5.123.83.232,Chrome 88.0,2021-03-08 13:31:09.223,2021-03-08 13:34:17.577,15.00
8,مبانی تغذیه S1,s981206212,NULL,NULL,NULL,NULL,0.00
8,مبانی تغذیه S1,s981206215,69.194.86.73,Chrome 88.0,2021-03-08 13:30:04.067,2021-03-08 13:32:18.983,13.00
8,مبانی تغذیه S1,s981206218,5.22.71.97,Chrome 88.0,2021-03-08 13:30:10.553,2021-03-08 13:33:23.007,12.00
8,مبانی تغذیه S1,s981206223,NULL,NULL,NULL,NULL,0.00
8,مبانی تغذیه S1,s981206224,5.123.197.61,Chrome 80.0,2021-03-08 13:30:59.470,2021-03-08 13:33:32.867,15.00
8,مبانی تغذیه S1,s981206225,5.218.110.240,Chrome 88.0,2021-03-08 13:30:05.660,2021-03-08 13:33:05.740,2.00
8,مبانی تغذیه S1,s981206226,NULL,NULL,NULL,NULL,0.00
8,مبانی تغذیه S1,s981206230,95.162.172.199,Chrome 88.0,2021-03-08 13:30:06.473,2021-03-08 13:33:44.073,14.00
8,مبانی تغذیه S1,s981206231,NULL,NULL,NULL,NULL,0.00
3034,مبانی تغذیه S2,s981206231,5.123.65.198,Chrome 88.0,2021-03-15 19:00:48.843,2021-03-15 19:06:04.900,14.00
3034,مبانی تغذیه S2,s981206230,89.34.36.106,Safari 14.0,2021-03-15 19:00:08.373,2021-03-15 19:03:48.350,10.00
3034,مبانی تغذیه S2,s981206226,93.110.207.254,Chrome 85.0,2021-03-15 19:00:42.030,2021-03-15 19:05:02.033,13.00
3034,مبانی تغذیه S2,s981206225,93.110.251.131,Chrome 89.0,2021-03-15 19:00:04.920,2021-03-15 19:04:11.150,12.00
3034,مبانی تغذیه S2,s981206224,5.123.179.57,Chrome 88.0,2021-03-15 19:03:05.410,2021-03-15 19:05:00.347,13.00
3034,مبانی تغذیه S2,s981206223,NULL,NULL,NULL,NULL,0.00
3034,مبانی تغذیه S2,s981206218,5.250.2.47,Chrome 88.0,2021-03-15 19:00:05.780,2021-03-15 19:04:44.987,11.00
3034,مبانی تغذیه S2,s981206215,5.22.110.164,Chrome 88.0,2021-03-15 19:00:10.233,2021-03-15 19:04:41.093,13.00
3034,مبانی تغذیه S2,s981206212,5.124.174.37,Chrome 88.0,2021-03-15 19:00:21.123,2021-03-15 19:06:12.660,15.00
