UserName,GPA
s971504106,17.88
s971504109,14.87
s971504119,13.98
s971504122,18.98
s971504901,15.76
s971504129,14.98
s971504117,15.88
s971504130,19.98
s971504128,15.76
s961504106,13.87
s971504107,12.77
s971504126,19.11
s971504115,15.76
s971504124,14.87
s971504114,15.87
s971504116,14.87
s961504113,15.98
s971504103,12.76
