UserName,GPA
s971603101,16.99
s971603102,18.33
s971603103,17.76
s971603104,18.22
s971603105,15.54
s971603106,12.11
s971603107,18.54
s971603108,18.76
s971603109,14.33
s971603110,12.87
s971603111,15.87
s971603112,16.87
s971603114,19.87
s971603115,14.77
s971603116,16.77
s971603118,13.44
s971603119,18.87
s971603120,19.88
s971603121,15.76
s971603122,16.74
s971603123,14.98
s971603125,19.22
s971603126,14.61
s971603127,10.11
s971603128,17.87
s971603129,15.99
s971603130,15.12
s971603131,18.54
s971603133,14.55
s971603134,13.55
s971603135,15.87
s971603136,12.55
s971603138,17.87
s971603139,16.81
s971603140,17.64
s971603141,13.87
s971603146,16.98
s971603124,15.98
s961603120,15.98
s961603122,14.88
s961603134,15.87
s961603901,15.87
s971603113,13.65
s981603109,18.88
s981603113,19.11
s981603115,17.67
s981603123,19.32
s981603126,16.87
s981603117,14.76
s981603107,14.75
